date,is_holiday,weekday
2025-06-01,True,Sunday
2025-06-02,False,Monday
2025-06-03,False,Tuesday
2025-06-04,False,Wednesday
2025-06-05,False,Thursday
2025-06-06,True,Friday
2025-06-07,True,Saturday
2025-06-08,True,Sunday
2025-06-09,False,Monday
2025-06-10,False,Tuesday
2025-06-11,False,Wednesday
2025-06-12,False,Thursday
2025-06-13,False,Friday
2025-06-14,True,Saturday
2025-06-15,True,Sunday
2025-06-16,False,Monday
2025-06-17,False,Tuesday
2025-06-18,False,Wednesday
2025-06-19,False,Thursday
2025-06-20,True,Friday
2025-06-21,True,Saturday
2025-06-22,True,Sunday
2025-06-23,False,Monday
2025-06-24,False,Tuesday
2025-06-25,False,Wednesday
2025-06-26,False,Thursday
2025-06-27,False,Friday
2025-06-28,True,Saturday
