name,title,extent,shifts worked,work rate,prefer,prefer not,unavailable,satisfaction,worked last,prefer t0,prefer not t0,unavailable t0
physician0,ÖL,100,4,0.7999999999999999,['2025-06-26'],['2025-06-24'],[],-0.495049504950495,1,[4],[2],[]
physician1,ÖL,100,5,1.0,"['2025-06-25', '2025-06-28']",['2025-06-27'],[],-0.8000388274121529,0,"[3, 6]",[5],[]
physician2,ÖL,100,5,1.0,['2025-06-24'],['2025-06-27'],[],-1.900990099009901,1,[2],[5],[]
physician3,ÖL,100,0,0.0,['2025-06-26'],['2025-06-23'],[],-0.594059405940594,0,[4],[1],[]
physician4,ST,100,3,0.6,[],[],[],0.0,1,[],[],[]
physician5,ST,50,3,1.2,"['2025-06-22', '2025-06-26']",[],[],-0.2892642205397011,0,"[0, 4]",[],[]
physician6,ST,50,4,1.6,"['2025-06-22', '2025-06-27']",[],[],0.8833236264802952,0,"[0, 5]",[],[]
physician7,ST,50,5,2.0,['2025-06-24'],['2025-06-27'],[],-1.900990099009901,1,[2],[5],[]
physician8,UL,100,4,0.7999999999999999,"['2025-06-26', '2025-06-23']",[],[],2.396039603960396,1,"[4, 1]",[],[]
physician9,UL,100,3,0.6,['2025-06-27'],['2025-06-24'],[],0.0990099009900989,1,[5],[2],[]
physician10,UL,100,6,1.2,"['2025-06-22', '2025-06-25']",['2025-06-24'],[],4.081343428460493,1,"[0, 3]",[2],[]
physician11,UL,100,4,0.7999999999999999,['2025-06-22'],[],[],-1.7843137254901962,1,[0],[],[]
physician12,AT,100,3,0.6,"['2025-06-25', '2025-06-26']",[],[],2.792079207920792,1,"[3, 4]",[],[]
physician13,AT,75,4,1.0666666666666669,['2025-06-24'],['2025-06-23'],[],-0.0990099009900989,1,[2],[1],[]
