name,title,extent,shifts worked,work rate,prefer,prefer not,unavailable,satisfaction,worked last
physician0,ÖL,100,0,0,"['2025-06-09', '2025-06-07', '2025-06-11', '2025-06-12']",['2025-06-06'],['2025-06-01'],0,0
physician1,ÖL,100,0,0,['2025-06-14'],"['2025-06-12', '2025-06-11']",[],0,0
physician2,ÖL,100,0,0,['2025-06-11'],"['2025-06-02', '2025-06-08', '2025-06-03']",[],0,0
physician3,ST,75,0,0,['2025-06-11'],['2025-06-05'],['2025-06-10'],0,0
physician4,ST,100,0,0,[],['2025-06-05'],[],0,0
physician5,ST,100,0,0,"['2025-06-04', '2025-06-14', '2025-06-07', '2025-06-02', '2025-06-09']","['2025-06-13', '2025-06-06']",[],0,0
physician6,UL,75,0,0,"['2025-06-06', '2025-06-08', '2025-06-03', '2025-06-09']",['2025-06-11'],['2025-06-01'],0,0
physician7,UL,50,0,0,[],[],['2025-06-04'],0,0
physician8,UL,100,0,0,"['2025-06-13', '2025-06-09']",[],['2025-06-06'],0,0
physician9,AT,100,0,0,['2025-06-07'],"['2025-06-05', '2025-06-13', '2025-06-11']",[],0,0
