date,demand,is_holiday,weekday,staff,shift covered
2025-03-24,2,False,Monday,"['1', '0']",ok
2025-03-25,2,False,Tuesday,"['1', '0']",ok
2025-03-26,2,False,Wednesday,"['2', '0']",ok
2025-03-27,2,False,Thursday,"['2', '0']",ok
2025-03-28,2,False,Friday,"['2', '1']",ok
2025-03-29,1,True,Saturday,['1'],ok
2025-03-30,1,True,Sunday,['2'],ok
2025-03-31,2,False,Monday,"['2', '0']",ok
2025-04-01,2,False,Tuesday,"['2', '1']",ok
2025-04-02,2,False,Wednesday,['1'],NOT ok!
2025-04-03,2,False,Thursday,['1'],NOT ok!
2025-04-04,2,False,Friday,"['2', '0']",ok
2025-04-05,1,True,Saturday,"['1', '0']",NOT ok!
2025-04-06,1,True,Sunday,['0'],ok
2025-04-07,2,False,Monday,"['2', '0']",ok
2025-04-08,2,False,Tuesday,"['2', '1']",ok
2025-04-09,2,False,Wednesday,"['1', '0']",ok
2025-04-10,2,False,Thursday,"['2', '0']",ok
2025-04-11,2,False,Friday,"['1', '0']",ok
2025-04-12,1,True,Saturday,['2'],ok
2025-04-13,1,True,Sunday,['1'],ok
