date,shift type,demand,attractiveness,weekday,is_holiday,staff,shift covered
2025-03-24,dag,2,-0.4878048780487805,Monday,False,"['2', '0']",ok
2025-03-24,kväll,1,-0.6451612903225806,Monday,False,[],NOT ok!
2025-03-24,natt,1,-0.6451612903225806,Monday,False,['0'],ok
2025-03-25,dag,2,0.0,Tuesday,False,"['3', '2']",ok
2025-03-25,kväll,1,0.0,Tuesday,False,['1'],ok
2025-03-25,natt,1,0.0,Tuesday,False,['3'],ok
2025-03-26,dag,2,0.4761904761904761,Wednesday,False,"['1', '0']",ok
2025-03-26,kväll,1,0.9090909090909092,Wednesday,False,['2'],ok
2025-03-26,natt,1,0.9090909090909092,Wednesday,False,['0'],ok
2025-03-27,dag,2,-0.4761904761904761,Thursday,False,['1'],NOT ok!
2025-03-27,kväll,1,-0.9090909090909092,Thursday,False,['0'],ok
2025-03-27,natt,1,-0.9090909090909092,Thursday,False,['1'],ok
2025-03-28,dag,2,-0.3225806451612903,Friday,False,['0'],NOT ok!
2025-03-28,kväll,1,-0.4761904761904761,Friday,False,['1'],ok
2025-03-28,natt,1,-0.4761904761904761,Friday,False,[],NOT ok!
2025-03-29,dag,1,0.9090909090909092,Saturday,True,['1'],ok
2025-03-29,kväll,1,0.9090909090909092,Saturday,True,['0'],ok
2025-03-29,natt,0,10.0,Saturday,True,[],ok
2025-03-30,dag,1,0.0,Sunday,True,['0'],ok
2025-03-30,kväll,1,0.0,Sunday,True,['3'],ok
2025-03-30,natt,0,0.0,Sunday,True,[],ok
2025-03-31,dag,2,0.0,Monday,False,['1'],NOT ok!
2025-03-31,kväll,1,0.0,Monday,False,['1'],ok
2025-03-31,natt,1,0.0,Monday,False,['0'],ok
2025-04-01,dag,2,-0.4761904761904761,Tuesday,False,['2'],NOT ok!
2025-04-01,kväll,1,-0.9090909090909092,Tuesday,False,['0'],ok
2025-04-01,natt,1,-0.9090909090909092,Tuesday,False,['3'],ok
2025-04-02,dag,2,-0.3225806451612903,Wednesday,False,"['1', '0']",ok
2025-04-02,kväll,1,-0.4761904761904761,Wednesday,False,[],NOT ok!
2025-04-02,natt,1,-0.4761904761904761,Wednesday,False,['0'],ok
2025-04-03,dag,2,-0.2439024390243902,Thursday,False,['1'],NOT ok!
2025-04-03,kväll,1,-0.3225806451612903,Thursday,False,[],NOT ok!
2025-04-03,natt,1,-0.3225806451612903,Thursday,False,['1'],ok
2025-04-04,dag,2,-0.4761904761904761,Friday,False,['0'],NOT ok!
2025-04-04,kväll,1,-0.9090909090909092,Friday,False,['1'],ok
2025-04-04,natt,1,-0.9090909090909092,Friday,False,['0'],ok
2025-04-05,dag,1,0.0,Saturday,True,['1'],ok
2025-04-05,kväll,1,0.0,Saturday,True,['0'],ok
2025-04-05,natt,0,0.0,Saturday,True,[],ok
2025-04-06,dag,1,0.0,Sunday,True,['1'],ok
2025-04-06,kväll,1,0.0,Sunday,True,['0'],ok
2025-04-06,natt,0,0.0,Sunday,True,[],ok
2025-04-07,dag,2,0.0,Monday,False,"['3', '2']",ok
2025-04-07,kväll,1,0.0,Monday,False,['0'],ok
2025-04-07,natt,1,0.0,Monday,False,['3'],ok
2025-04-08,dag,2,-0.4761904761904761,Tuesday,False,"['1', '0']",ok
2025-04-08,kväll,1,-0.9090909090909092,Tuesday,False,['2'],ok
2025-04-08,natt,1,-0.9090909090909092,Tuesday,False,['1'],ok
2025-04-09,dag,2,-0.3225806451612903,Wednesday,False,['3'],NOT ok!
2025-04-09,kväll,1,-0.4761904761904761,Wednesday,False,['1'],ok
2025-04-09,natt,1,-0.4761904761904761,Wednesday,False,[],NOT ok!
2025-04-10,dag,2,0.0,Thursday,False,"['1', '0']",ok
2025-04-10,kväll,1,0.0,Thursday,False,['2'],ok
2025-04-10,natt,1,0.0,Thursday,False,['1'],ok
