date,staff
2025-06-01,"['8', '3', '2']"
2025-06-02,"['9', '7', '6', '5', '4', '1', '0']"
2025-06-03,"['9', '8', '6', '5', '3', '2', '0']"
2025-06-04,"['9', '8', '6', '5', '4', '2', '0']"
2025-06-05,"['8', '7', '5', '4', '1', '0']"
2025-06-06,"['6', '4', '1']"
2025-06-07,"['9', '8', '3', '0']"
2025-06-08,"['6', '5', '1']"
2025-06-09,"['8', '7', '5', '4', '2', '1']"
2025-06-10,"['9', '8', '7', '5', '4', '2', '0']"
2025-06-11,"['9', '8', '7', '5', '3', '2', '0']"
2025-06-12,"['9', '8', '6', '5', '3', '2', '0']"
2025-06-13,"['9', '8', '6', '4', '3', '2', '1']"
2025-06-14,"['9', '6', '4', '1']"
