date,demand,attractiveness,staff,shift covered
2025-06-01,2,0.0,"['1', '4']",ok
2025-06-02,4,0.0,"['1', '2', '3', '4']",ok
2025-06-03,4,-0.4878048780487805,"['1', '2', '3', '4']",ok
2025-06-04,4,0.4878048780487805,"['0', '1', '3', '4']",ok
2025-06-05,4,0.0,"['1', '2', '3', '4']",ok
2025-06-06,2,-0.9523809523809524,"['2', '4']",ok
2025-06-07,2,-0.4761904761904761,"['0', '4']",ok
2025-06-08,2,0.4761904761904761,"['1', '2']",ok
2025-06-09,4,0.2439024390243902,"['0', '1', '2', '3']",ok
2025-06-10,4,0.196078431372549,"['0', '2', '3', '4']",ok
2025-06-11,4,0.0,"['0', '1', '3', '4']",ok
2025-06-12,4,0.4878048780487805,"['0', '1', '2', '3']",ok
2025-06-13,4,0.2439024390243902,"['0', '1', '3', '4']",ok
2025-06-14,2,0.9523809523809524,"['2', '3']",ok
2025-06-15,2,-1.4285714285714286,"['2', '3']",ok
2025-06-16,4,-0.2439024390243902,"['0', '1', '2', '4']",ok
2025-06-17,4,0.0,"['0', '2', '3', '4']",ok
2025-06-18,4,0.0,"['0', '2', '3', '4']",ok
2025-06-19,4,-0.2439024390243902,"['0', '2', '3', '4']",ok
2025-06-20,2,-0.4761904761904761,"['0', '4']",ok
2025-06-21,2,0.0,"['0', '1']",ok
2025-06-22,2,0.0,"['0', '3']",ok
2025-06-23,4,0.2439024390243902,"['0', '1', '2', '3']",ok
2025-06-24,4,0.2439024390243902,"['0', '1', '2', '3']",ok
2025-06-25,4,0.0,"['0', '1', '2', '3']",ok
2025-06-26,4,-0.2439024390243902,"['0', '1', '3', '4']",ok
2025-06-27,4,-0.7317073170731708,"['0', '1', '2', '4']",ok
2025-06-28,2,0.3225806451612903,"['1', '2']",ok
